EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 24-04-2018
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station IRELAND, WATERFORD (TYCOR) (STAID: 1760).
Blended and updated with sources: 107762 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
107762,19410803,    8,    0
107762,19410804,   18,    0
107762,19410805,    3,    0
107762,19410806,    0,    0
107762,19410807,   46,    0
107762,19410808,   13,    0
107762,19410809,   53,    0
107762,19410810,   10,    0
107762,19410811,    5,    0
107762,19410812,    5,    0
107762,19410813,    0,    0
107762,19410814,    0,    0
107762,19410815,   41,    0
107762,19410816,   74,    0
107762,19410817,    0,    0
107762,19410818,    8,    0
107762,19410819,    5,    0
107762,19410820,   10,    0
107762,19410821,    3,    0
107762,19410822,    5,    0
107762,19410823,    8,    0
107762,19410824,   94,    0
107762,19410825,    0,    0
107762,19410826,   10,    0
107762,19410827,   66,    0
107762,19410828,    5,    0
107762,19410829,    0,    0
107762,19410830,    0,    0
107762,19410831,   20,    0
107762,19410901,    0,    0
107762,19410902,    5,    0
107762,19410903,    0,    0
107762,19410904,    0,    0
107762,19410905,    8,    0
107762,19410906,    0,    0
107762,19410907,    0,    0
107762,19410908,    0,    0
107762,19410909,    0,    0
107762,19410910,    0,    0
107762,19410911,    0,    0
107762,19410912,    0,    0
107762,19410913,    0,    0
107762,19410914,   10,    0
107762,19410915,    0,    0
107762,19410916,    0,    0
107762,19410917,    0,    0
107762,19410918,    0,    0
107762,19410919,    0,    0
107762,19410920,    0,    0
107762,19410921,    0,    0
107762,19410922,    0,    0
107762,19410923,    0,    0
107762,19410924,   69,    0
107762,19410925,   18,    0
107762,19410926,   69,    0
107762,19410927,   56,    0
107762,19410928,   41,    0
107762,19410929,   10,    0
107762,19410930,    0,    0
107762,19411001,    0,    0
107762,19411002,    0,    0
107762,19411003,    0,    0
107762,19411004,   23,    0
107762,19411005,   18,    0
107762,19411006,    0,    0
107762,19411007,   38,    0
107762,19411008,  132,    0
107762,19411009,   79,    0
107762,19411010,  130,    0
107762,19411011,    0,    0
107762,19411012,   10,    0
107762,19411013,   58,    0
107762,19411014,    3,    0
107762,19411015,   81,    0
107762,19411016,    3,    0
107762,19411017,  142,    0
107762,19411018,    5,    0
107762,19411019,    3,    0
107762,19411020,    0,    0
107762,19411021,    0,    0
107762,19411022,    0,    0
107762,19411023,    0,    0
107762,19411024,    0,    0
107762,19411025,    0,    0
107762,19411026,    0,    0
107762,19411027,    0,    0
107762,19411028,    0,    0
107762,19411029,    0,    0
107762,19411030,    0,    0
107762,19411031,   15,    0
107762,19411101,    3,    0
107762,19411102,    3,    0
107762,19411103,    0,    0
107762,19411104,-9999,    9
107762,19411105,    0,    0
107762,19411106,    8,    0
107762,19411107,    8,    0
107762,19411108,   53,    0
107762,19411109,  160,    0
107762,19411110,  206,    0
107762,19411111,   10,    0
107762,19411112,    0,    0
107762,19411113,   53,    0
107762,19411114,    3,    0
107762,19411115,  160,    0
107762,19411116,  221,    0
107762,19411117,    5,    0
107762,19411118,  117,    0
107762,19411119,   30,    0
107762,19411120,  213,    0
107762,19411121,  124,    0
107762,19411122,   97,    0
107762,19411123,   30,    0
107762,19411124,   10,    0
107762,19411125,    0,    0
107762,19411126,   28,    0
107762,19411127,   36,    0
107762,19411128,    8,    0
107762,19411129,   36,    0
107762,19411130,  145,    0
107762,19411201,   13,    0
107762,19411202,-9999,    9
107762,19411203,   13,    0
107762,19411204,   20,    0
107762,19411205,   13,    0
107762,19411206,   69,    0
107762,19411207,-9999,    9
107762,19411208,    0,    0
107762,19411209,    0,    0
107762,19411210,   15,    0
107762,19411211,   10,    0
107762,19411212,    0,    0
107762,19411213,   36,    0
107762,19411214,   38,    0
107762,19411215,   10,    0
107762,19411216,    0,    0
107762,19411217,    0,    0
107762,19411218,    0,    0
107762,19411219,    0,    0
107762,19411220,    3,    0
107762,19411221,   13,    0
107762,19411222,    0,    0
107762,19411223,    0,    0
107762,19411224,    0,    0
107762,19411225,    0,    0
107762,19411226,    5,    0
107762,19411227,  104,    0
107762,19411228,    3,    0
107762,19411229,    0,    0
107762,19411230,    5,    0
107762,19411231,    0,    0
107762,19420101,    0,    0
107762,19420102,   30,    0
107762,19420103,   43,    0
107762,19420104,    3,    0
107762,19420105,    0,    0
107762,19420106,    0,    0
107762,19420107,    0,    0
107762,19420108,    0,    0
107762,19420109,    0,    0
107762,19420110,    0,    0
107762,19420111,   20,    0
107762,19420112,   76,    0
107762,19420113,    0,    0
107762,19420114,   13,    0
107762,19420115,  157,    0
107762,19420116,    8,    0
107762,19420117,   66,    0
107762,19420118,   94,    0
107762,19420119,   99,    0
107762,19420120,    8,    0
107762,19420121,  409,    0
107762,19420122,   69,    0
107762,19420123,   20,    0
107762,19420124,   30,    0
107762,19420125,    3,    0
107762,19420126,   38,    0
107762,19420127,   48,    0
107762,19420128,   33,    0
107762,19420129,    5,    0
107762,19420130,   56,    0
107762,19420131,   13,    0
107762,19420201,    0,    0
107762,19420202,    5,    0
107762,19420203,    0,    0
107762,19420204,   15,    0
107762,19420205,   13,    0
107762,19420206,   10,    0
107762,19420207,    0,    0
107762,19420208,    3,    0
107762,19420209,    0,    0
107762,19420210,    0,    0
107762,19420211,    0,    0
107762,19420212,    3,    0
107762,19420213,    0,    0
107762,19420214,    0,    0
107762,19420215,    5,    0
107762,19420216,    0,    0
107762,19420217,    0,    0
107762,19420218,    0,    0
107762,19420219,    0,    0
107762,19420220,    0,    0
107762,19420221,    0,    0
107762,19420222,    0,    0
107762,19420223,    0,    0
107762,19420224,    0,    0
107762,19420225,    0,    0
107762,19420226,    0,    0
107762,19420227,   69,    0
107762,19420228,  132,    0
107762,19420301,    5,    0
107762,19420302,  107,    0
107762,19420303,  107,    0
107762,19420304,   36,    0
107762,19420305,   15,    0
107762,19420306,    0,    0
107762,19420307,   23,    0
107762,19420308,  175,    0
107762,19420309,    0,    0
107762,19420310,   30,    0
107762,19420311,   13,    0
107762,19420312,   20,    0
107762,19420313,   25,    0
107762,19420314,   33,    0
107762,19420315,   99,    0
107762,19420316,  117,    0
107762,19420317,   10,    0
107762,19420318,    8,    0
107762,19420319,    0,    0
107762,19420320,    0,    0
107762,19420321,    0,    0
107762,19420322,    0,    0
107762,19420323,    0,    0
107762,19420324,    0,    0
107762,19420325,    0,    0
107762,19420326,    0,    0
107762,19420327,   48,    0
107762,19420328,   33,    0
107762,19420329,   18,    0
107762,19420330,   94,    0
107762,19420331,   38,    0
107762,19420401,   10,    0
107762,19420402,  119,    0
107762,19420403,   18,    0
107762,19420404,  117,    0
107762,19420405,   48,    0
107762,19420406,   13,    0
107762,19420407,    3,    0
107762,19420408,   81,    0
107762,19420409,    8,    0
107762,19420410,   13,    0
107762,19420411,    8,    0
107762,19420412,   30,    0
107762,19420413,    8,    0
107762,19420414,    0,    0
107762,19420415,    0,    0
107762,19420416,    0,    0
107762,19420417,    0,    0
107762,19420418,   15,    0
107762,19420419,    0,    0
107762,19420420,    0,    0
107762,19420421,    0,    0
107762,19420422,    0,    0
107762,19420423,   13,    0
107762,19420424,    0,    0
107762,19420425,    0,    0
107762,19420426,    0,    0
107762,19420427,    0,    0
107762,19420428,    0,    0
107762,19420429,    0,    0
107762,19420430,    0,    0
107762,19420501,    0,    0
107762,19420502,    0,    0
107762,19420503,    0,    0
107762,19420504,    0,    0
107762,19420505,    3,    0
107762,19420506,    0,    0
107762,19420507,    8,    0
107762,19420508,    0,    0
107762,19420509,    0,    0
107762,19420510,   81,    0
107762,19420511,    5,    0
107762,19420512,    5,    0
107762,19420513,    0,    0
107762,19420514,   86,    0
107762,19420515,   56,    0
107762,19420516,    3,    0
107762,19420517,  188,    0
107762,19420518,   15,    0
107762,19420519,   18,    0
107762,19420520,    8,    0
107762,19420521,    8,    0
107762,19420522,  107,    0
107762,19420523,   91,    0
107762,19420524,   81,    0
107762,19420525,   38,    0
107762,19420526,   71,    0
107762,19420527,  122,    0
107762,19420528,   15,    0
107762,19420529,  130,    0
107762,19420530,    3,    0
107762,19420531,    5,    0
107762,19420601,    0,    0
107762,19420602,    0,    0
107762,19420603,    0,    0
107762,19420604,    0,    0
107762,19420605,    0,    0
107762,19420606,    0,    0
107762,19420607,    0,    0
107762,19420608,    0,    0
107762,19420609,    0,    0
107762,19420610,    0,    0
107762,19420611,    0,    0
107762,19420612,    0,    0
107762,19420613,   15,    0
107762,19420614,   61,    0
